name,sha256,bytes,rows,contains_prompt_text,contains_response_text
run_v3_AWQ_naive_rep1.jsonl,01c031deb6544db5be6d88f8828cfbb61d816f99f3bd2c4790ef3a8c333b7f8d,16332,29,False,False
run_v3_AWQ_naive_rep2.jsonl,9589f6684f35468d0c94e1b65970ef96abaad9e51142cc977ffefb2fc7e0cf8b,16346,29,False,False
run_v3_AWQ_naive_rep3.jsonl,ae029c1ced10ef16c35778e06d82a784031697654a73b09099c283b76eaed3be,16334,29,False,False
run_v3_AWQ_compaction_rep1.jsonl,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878,18304,32,False,False
run_v3_AWQ_compaction_rep2.jsonl,e34b8fc2c3c60a980ae171474912fc0a74de1e4be195358894b4488709d68601,18307,32,False,False
run_v3_AWQ_compaction_rep3.jsonl,288d7f1746c25536ee9642998a7760ee6434d01bf655968a5d8d3253e200e9d5,18300,32,False,False
run_v3_FP16_naive_rep1.jsonl,dbea564bfb2e71b334de9d4871b304162d7b1820dc3f178a4fdb24809a08d1c3,16400,29,False,False
run_v3_FP16_naive_rep2.jsonl,9b2b553a9a1c23c9587b90bc98cb087b516de6ed63f19ae3502ec50b5cfc8f59,16391,29,False,False
run_v3_FP16_naive_rep3.jsonl,4ebb36c4e0b70c0e574d0a352c829636ffb647eac492d6a1b4a209a88fa950d9,16397,29,False,False
run_v3_FP16_compaction_rep1.jsonl,25f8f0036b232e47348d555f6598efc4145b17eeb66c49ab3906339c2b2e67ff,18365,32,False,False
run_v3_FP16_compaction_rep2.jsonl,62e9f81d757af63a87acee33f6a2903d7cf4a95640ef54536455d3e49cf65ca6,18361,32,False,False
run_v3_FP16_compaction_rep3.jsonl,473f6c64c4208c1c34d5e65dc106758e43024fb32dd50f35164e3941f69a53ff,18360,32,False,False
